To,From,time,Strength,Type,Label
EPISODE III: REVENGE OF THE SITH,Commander Cody,0.052083333,520.83333,Character,Commander Cody
ROGUE ONE,Admiral Raddus,0.052083333,520.83333,Character,Admiral Raddus
EPISODE II: ATTACK OF THE CLONES,Darth Vader,0.033333333,333.33333,Character,Darth Vader
EPISODE III: REVENGE OF THE SITH,Luke Skywalker,0.03125,312.5,Character,Luke Skywalker
EPISODE VII: THE FORCE AWAKENS,Luke Skywalker,0.03125,312.5,Character,Luke Skywalker
EPISODE III: REVENGE OF THE SITH,Emperor Palpatine,0.03125,312.5,Character,Emperor Palpatine
EPISODE II: ATTACK OF THE CLONES,Senator Bail Organa,0.03125,312.5,Character,Senator Bail Organa
EPISODE IV: A NEW HOPE,Wedge Antilles,0.03125,312.5,Character,Wedge Antilles
ROGUE ONE,General Dodonna,0.03125,312.5,Character,General Dodonna
EPISODE II: ATTACK OF THE CLONES,Obi-Wan Kenobi,0.023611111,236.11111,Character,Obi-Wan Kenobi
EPISODE III: REVENGE OF THE SITH,Princess Leia Organa,0.020833333,208.33333,Character,Princess Leia Organa
EPISODE VII: THE FORCE AWAKENS,Finn,0.020833333,208.33333,Character,Finn
EPISODE I: THE PHANTOM MENACE,Jabba the Hutt,0.020833333,208.33333,Character,Jabba the Hutt
EPISODE III: REVENGE OF THE SITH,Owen Lars,0.020833333,208.33333,Character,Owen Lars
EPISODE III: REVENGE OF THE SITH,Beru Lars,0.020833333,208.33333,Character,Beru Lars
EPISODE VII: THE FORCE AWAKENS,Admiral Ackbar,0.020833333,208.33333,Character,Admiral Ackbar
EPISODE II: ATTACK OF THE CLONES,Sio Bibble,0.020833333,208.33333,Character,Sio Bibble
EPISODE V: THE EMPIRE STRIKES BACK,Wedge Antilles,0.020833333,208.33333,Character,Wedge Antilles
ROGUE ONE,Cassian Andor,0.017361111,173.61111,Character,Cassian Andor
EPISODE VII: THE FORCE AWAKENS,Han Solo,0.014583333,145.83333,Character,Han Solo
EPISODE IV: A NEW HOPE,R2-D2,0.0125,125,Character,R2-D2
ROGUE ONE,Princess Leia Organa,0.010416667,104.16667,Character,Princess Leia Organa
EPISODE III: REVENGE OF THE SITH,Jar Jar Binks,0.010416667,104.16667,Character,Jar Jar Binks
EPISODE III: REVENGE OF THE SITH,Grand Moff Tarkin,0.010416667,104.16667,Character,Grand Moff Tarkin
EPISODE I: THE PHANTOM MENACE,Bib Fortuna,0.010416667,104.16667,Character,Bib Fortuna
EPISODE III: REVENGE OF THE SITH,Captain Typho,0.010416667,104.16667,Character,Captain Typho
EPISODE VII: THE FORCE AWAKENS,Nien Nunb,0.010416667,104.16667,Character,Nien Nunb
EPISODE IV: A NEW HOPE,Chewbacca,0.007638889,76.38889,Character,Chewbacca
ROGUE ONE,Orson Krennic,0.006944444,69.44444,Character,Orson Krennic
ROGUE ONE,Chirrut ’_mwe,0.00625,62.5,Character,Chirrut ’_mwe
ROGUE ONE,Baze Malbus,0.005555556,55.55556,Character,Baze Malbus
EPISODE II: ATTACK OF THE CLONES,Mace Windu,0.004861111,48.61111,Character,Mace Windu
EPISODE VI: RETURN OF THE JEDI,Emperor Palpatine,0.004166667,41.66667,Character,Emperor Palpatine
EPISODE I: THE PHANTOM MENACE,Viceroy Nute Gunray,0.004166667,41.66667,Character,Viceroy Nute Gunray
EPISODE I: THE PHANTOM MENACE,Darth Maul,0.004166667,41.66667,Character,Darth Maul
EPISODE III: REVENGE OF THE SITH,R2-D2,0.003472222,34.72222,Character,R2-D2
EPISODE II: ATTACK OF THE CLONES,Emperor Palpatine,0.002777778,27.77778,Character,Emperor Palpatine
EPISODE VI: RETURN OF THE JEDI,Yoda,0.002777778,27.77778,Character,Yoda
ROGUE ONE (2016),Darth Vader,0.002083333,20.83333,Character,Darth Vader
EPISODE I: THE PHANTOM MENACE,Boss Nass,0.002083333,20.83333,Character,Boss Nass
EPISODE I: THE PHANTOM MENACE,C-3PO,0.001388889,13.88889,Character,C-3PO
EPISODE III: REVENGE OF THE SITH,Count Dooku,0.001388889,13.88889,Character,Count Dooku
EPISODE II: ATTACK OF THE CLONES,Shmi Skywalker,0.001388889,13.88889,Character,Shmi Skywalker
EPISODE II: ATTACK OF THE CLONES,Captain Typho,0.001388889,13.88889,Character,Captain Typho
EPISODE VII: THE FORCE AWAKENS,Supreme Leader Snoke,0.001388889,13.88889,Character,Supreme Leader Snoke
EPISODE II: ATTACK OF THE CLONES,Cliegg Lars,0.001388889,13.88889,Character,Cliegg Lars
EPISODE II: ATTACK OF THE CLONES,Lama Su,0.001388889,13.88889,Character,Lama Su
EPISODE V: THE EMPIRE STRIKES BACK,Obi-Wan Kenobi,0.000694444,6.94444,Character,Obi-Wan Kenobi
EPISODE III: REVENGE OF THE SITH,Chewbacca,0.000694444,6.94444,Character,Chewbacca
EPISODE V: THE EMPIRE STRIKES BACK,Emperor Palpatine,0.000694444,6.94444,Character,Emperor Palpatine
EPISODE III: REVENGE OF THE SITH,Viceroy Nute Gunray,0.000694444,6.94444,Character,Viceroy Nute Gunray
EPISODE VI: RETURN OF THE JEDI,Boba Fett,0.000694444,6.94444,Character,Boba Fett
EPISODE VI: RETURN OF THE JEDI,Mon Mothma,0.000694444,6.94444,Character,Mon Mothma
EPISODE VI: RETURN OF THE JEDI,Admiral Piett,0.000694444,6.94444,Character,Admiral Piett
EPISODE IV: A NEW HOPE,Biggs Darklighter,0.000694444,6.94444,Character,Biggs Darklighter
